id,name,calories,proteins,fat,carbohydrate
1,Abon,280.0,9.2,28.4,0.0
2,Abon haruwan,513.0,23.7,37.0,21.3
3,Agar-agar,0.0,0.0,0.2,0.0
4,Akar tonjong segar,45.0,1.1,0.4,10.8
5,Aletoge segar,37.0,4.4,0.5,3.8
6,Alpukat segar,85.0,0.9,6.5,7.7
7,Ampas kacang hijau,96.0,3.7,0.6,19.1
8,Ampas Tahu,414.0,26.6,18.3,41.3
9,Ampas tahu kukus,75.0,4.1,2.1,10.7
10,Ampas tahu mentah,67.0,5.0,2.1,8.1
11,Anak sapi daging gemuk segar,184.0,18.8,14.0,0.0
12,Anak sapi daging kurus segar,174.0,19.6,10.0,0.0
13,Anak sapi daging sedang segar,190.0,19.1,12.0,0.0
14,Andaliman segar,99.0,4.6,1.0,18.0
15,Andewi,25.0,1.6,0.2,5.3
16,Anggur hutan segar,30.0,0.5,0.2,6.8
17,Angsa,354.0,16.4,31.5,0.0
18,Anyang sayur,126.0,3.4,7.9,10.3
19,Apel,58.0,0.3,0.4,14.9
20,Apel malang segar,57.0,0.5,0.4,12.8
21,Arbei,37.0,0.8,0.5,8.3
22,Ares sayur,113.0,0.9,7.2,11.2
23,Arrowroot segar,102.0,1.0,0.2,24.1
24,Arwan sirsir,277.0,2.4,25.0,10.7
25,Asam kandis segar,75.0,0.2,1.1,16.1
26,Asam masak di pohon,239.0,2.8,0.6,62.5
27,Asam payak segar,135.0,0.8,0.4,32.1
28,Asan kandis kering,261.0,0.9,1.6,63.3
29,Asinan Bogor sayuran,98.0,3.9,2.6,14.8
30,Ayam,302.0,18.2,25.0,0.0
31,Ayam  goreng Kentuckysayap,297.0,35.9,15.2,1.6
32,Ayam ampela goreng,270.0,32.3,11.2,9.9
33,Ayam dideh/darah segar,75.0,13.8,1.9,0.7
34,Ayam goreng church texa sayap,295.0,34.0,16.0,1.5
35,Ayam goreng church texas dada,338.0,35.2,20.6,0.4
36,Ayam goreng kalasan paha,275.0,37.4,12.2,1.3
37,Ayam goreng kentucky dada,298.0,34.2,16.8,0.1
38,Ayam goreng Kentucky paha,286.0,32.1,16.1,1.1
39,Ayam goreng mbok berek dada,295.0,39.2,13.6,1.0
40,Ayam goreng paha,287.0,31.0,15.7,1.7
41,Ayam goreng pasundan dada,246.0,37.9,9.0,0.7
42,Ayam goreng pasundan paha,245.0,33.1,11.4,0.3
43,Ayam goreng pioneer dada,295.0,37.4,14.7,0.6
44,Ayam goreng sukabumi dada,244.0,36.7,9.2,1.0
45,Ayam goreng sukabumi paha,283.0,35.7,14.3,0.5
46,Ayam hati segar,261.0,27.4,16.1,1.6
47,Ayam taliwang masakan,264.0,18.2,20.1,2.7
48,Ayam usus goreng,473.0,45.2,26.3,13.9
49,Babat,113.0,17.6,4.2,0.0
50,Babi daging gemuk segar,453.0,11.9,45.0,0.0
51,Babi daging kurus segar,371.0,14.1,35.0,0.0
52,Babi ginjal segar,110.0,16.3,4.6,0.8
53,Babi hati segar,129.0,19.7,4.8,1.7
54,Babi hutan masak rica masakan,491.0,24.6,16.3,0.2
55,Bacang,102.9,3.3,2.7,16.3
56,Bagea kelapa asin,450.0,3.2,13.9,78.1
57,Bagea kelapa manis,452.0,1.3,13.8,80.6
58,Bagea kenari asin,529.0,3.2,29.1,63.6
59,Bagea kenari manis,523.0,3.2,28.2,64.2
60,Bagea kw 1,416.0,6.5,9.4,76.3
61,Bagea kw 2,382.0,0.3,3.5,87.2
62,Baje,129.0,1.9,6.6,15.6
63,Bakpia kue,272.0,8.7,6.7,44.1
64,Bakso ,76.0,4.1,2.5,9.2
65,Bakung segar,27.0,2.0,0.2,4.2
66,Bakwan,280.0,8.2,10.2,39.0
67,Baligo,13.0,0.4,0.2,3.0
68,Bantal,190.0,3.3,0.3,43.5
69,Barongko,159.0,3.1,5.8,23.5
70,Batang Tading,137.0,4.3,4.8,19.1
71,Batar daan,107.0,2.2,2.2,19.6
72,Batatas gembili segar,76.0,1.1,0.9,16.0
73,Batatas kelapa ubi bakar,110.0,1.4,1.1,23.4
74,Batatas kelapa ubi kukus,92.0,1.2,0.3,21.0
75,Batatas kelapa ubi segar,89.0,1.1,0.1,21.0
76,Batatas tali ubi rebus,182.0,2.4,0.4,42.2
77,Bawang Bombay,45.0,1.4,0.2,10.3
78,Bawang Merah,39.0,1.5,0.3,0.2
79,Bawang Putih,95.0,4.5,0.2,23.1
80,Bayam kukus,30.0,1.3,0.7,5.8
81,Bayam Merah,51.0,4.6,0.5,10.0
82,Bayam merah segar,41.0,2.2,0.8,6.3
83,Bayam rebus,23.0,1.2,0.6,3.7
84,Bayam segar,36.0,3.5,0.5,6.5
85,Bayam tumis + oncom,102.0,3.7,6.7,6.9
86,Bayam tumis bersantan,48.0,1.4,4.2,2.6
87,Bebek (itik),326.0,16.0,28.6,0.0
88,Bebek alabio daging segar,303.0,11.3,27.0,3.7
89,Bebek daging goreng,300.0,24.0,20.7,4.5
90,Beberuk,65.0,1.1,5.2,3.5
91,Beef burger,258.0,10.6,9.5,32.5
92,Beef teriyaki masakan,151.0,8.6,3.1,22.3
93,Beef yakiniku masakan,132.0,9.8,1.1,20.7
94,Bekasam,116.0,11.9,4.9,6.1
95,Bekasang,78.0,11.4,2.0,3.6
96,Belibis daging segar,131.0,20.2,4.3,2.8
97,Belimbing,36.0,0.4,0.4,8.8
98,Belitung talas kukus,145.0,1.2,0.4,34.2
99,Belut goreng,417.0,25.9,19.4,32.0
100,Belut segar,70.0,14.6,0.8,1.0
101,Belutlaut segar,93.0,12.8,1.5,6.1
102,Bengkuang,55.0,1.4,0.2,12.8
103,Bentul (Komba)  talas segar,98.0,1.6,0.7,20.9
104,Bentul talas kukus,71.0,2.3,0.3,15.4
105,Beras Cerdas,350.0,2.7,1.1,82.3
106,Beras ganyong,364.0,3.4,0.7,86.3
107,Beras Giling,360.0,6.8,0.7,78.9
108,Beras Giling masak (nasi) ,178.0,2.1,0.1,40.6
109,Beras giling mentah,357.0,8.4,1.7,77.1
110,Beras giling var pelita mentah,369.0,9.5,1.4,77.1
111,Beras giling var rojolele mentah,357.0,8.4,1.7,77.1
112,Beras hitam mentah,351.0,8.0,1.3,76.9
113,Beras jagung kuning kering mentah,358.0,5.5,0.1,82.7
114,Beras jagung putih kering mentah,307.0,4.8,0.1,71.8
115,Beras Ketan Hitam,356.0,7.0,0.7,78.0
116,Beras Ketan Hitam kukus,181.0,4.0,1.2,37.3
117,Beras Ketan Hitam tape,166.0,3.8,1.0,34.4
118,Beras Ketan Hitam tumbuk,360.0,8.0,2.3,74.5
119,Beras ketan hitam tumbuk mentah,360.0,8.0,2.3,74.5
120,Beras Ketan Putih,362.0,6.7,0.7,79.4
121,Beras Ketan Putih kukus,163.0,3.0,0.4,35.7
122,Beras Ketan Putih tape,172.0,3.0,0.5,37.5
123,Beras Ketan Putih tumbuk,361.0,7.4,0.8,78.4
124,Beras ketan putih tumbuk mentah,361.0,7.4,0.8,78.4
125,Beras ladang mentah,376.0,7.5,3.8,78.0
126,Beras Menir,339.0,7.7,4.4,73.0
127,Beras menir mentah,362.0,7.7,4.4,73.0
128,Beras Merah tumbuk,359.0,7.5,0.9,77.6
129,Beras Parboiled,364.0,6.8,0.6,80.1
130,Beras parboiled,353.0,6.8,0.6,80.0
131,Beras Pecah Kulit,335.0,7.4,1.9,76.2
132,Beras Setengah Giling,363.0,7.6,1.1,78.3
133,Beras Siger,344.0,1.1,0.2,28.3
134,Beras tumbuk mentah,354.0,7.8,0.4,79.9
135,Beras tumbuk merah mentah,352.0,7.3,0.9,76.2
136,Betok wadi masakan,145.0,16.3,7.0,4.1
137,Bihun,360.0,4.7,0.1,82.1
138,Bihun Goreng ,154.0,3.0,4.5,25.5
139,Bihun goreng instan,381.0,6.1,3.9,80.3
140,Bihun Jagung mentah,354.0,0.5,0.3,87.4
141,Bihun mentah,348.0,4.7,0.1,82.1
142,Biji Jambu Mete,562.0,21.2,49.6,23.6
143,Biji Jambu Mete goreng,629.0,21.5,56.6,19.8
144,Biji nangka/Biji salak,262.0,2.3,5.4,51.1
145,Bika ambon,199.0,2.1,1.5,44.4
146,Bika Ambon ,225.7,3.0,0.3,52.9
147,Bir (4% alkohol),48.0,0.6,0.0,4.4
148,Biskuit,458.0,6.9,14.4,75.1
149,Bit,42.0,1.6,0.1,9.6
150,Biwah segar,51.0,0.3,0.1,12.1
151,Bonggol Pisang,43.0,2.6,0.0,11.6
152,Bonggol Pisang kering,245.0,3.4,0.0,66.2
153,Bongkrek (tempe bungkil),119.0,4.4,3.5,18.3
154,Boros Kunci,23.0,1.0,0.8,7.2
155,Boros Laja (lengkuas),22.0,1.0,0.3,4.7
156,Botok lamtoro,186.0,11.7,9.7,13.0
157,Brem,249.0,3.4,0.4,58.0
158,Brondong ,400.0,4.0,0.7,95.3
159,Brongkos,141.0,15.3,3.3,12.6
160,Buah Atung,23.0,0.8,0.2,5.2
161,Buah kelenting segar,110.0,1.4,2.1,21.4
162,Buah kelor,38.0,1.5,0.2,7.5
163,Buah kom segar,264.0,4.0,1.1,59.6
164,Buah Mentega (bisbul),39.0,0.7,0.2,9.7
165,Buah merah,87.0,2.6,2.7,13.1
166,Buah Naga Merah segar,71.0,1.7,3.1,9.1
167,Buah Naga Putih segar,56.0,0.8,1.0,10.9
168,Buah negri segar,55.0,1.2,0.1,12.2
169,Buah Nona,101.0,1.7,0.6,25.2
170,Buah rotan segar,78.0,0.6,0.3,18.2
171,Buah rukam segar,113.0,0.8,0.3,26.8
172,Buah ruruhi segar,29.0,2.1,0.7,3.6
173,Buah tuppa segar,67.0,0.4,0.2,15.9
174,Buaya daging dendeng mentah,365.0,49.6,4.8,30.8
175,Bubur ,60.0,1.0,60.0,13.0
176,Bubur sagu,167.0,0.2,4.0,33.0
177,Bubur tinotuan (Manado),156.0,2.3,0.2,15.6
178,Bulgogi masakan,72.0,11.4,4.9,1.4
179,Bulung Jajan,212.0,16.9,0.2,47.6
180,Bulung Sangu,237.0,14.7,0.2,56.0
181,Buncis,35.0,2.4,0.2,7.7
182,Buncis asam,60.0,5.1,0.5,8.5
183,Buncis rebus,30.0,2.2,0.2,6.4
184,Bunga pepaya segar,45.0,2.6,0.3,8.1
185,Bunga turi segar,42.0,2.0,1.1,6.1
186,Bungkil Biji Karet,333.0,29.3,3.3,50.0
187,Bungkil Kacang Tanah,336.0,37.4,13.0,30.5
188,Bungkil Kelapa,368.0,23.0,15.0,40.0
189,Buntil ,106.0,4.4,6.3,7.9
190,Buntil daun talas,141.0,4.4,10.2,8.0
191,Buras ,125.7,3.3,1.9,23.9
192,Burung sarang segar,281.0,37.5,0.3,32.1
193,Cabai gembor merah segar,38.0,1.6,0.8,6.3
194,Cabai hijau segar,26.0,0.7,0.3,5.2
195,Cabai merah kering,367.0,15.9,6.2,61.8
196,Cabai merah segar,36.0,1.0,0.3,7.3
197,Cabai rawit segar,120.0,4.7,2.4,19.9
198,Caisin segar,20.0,1.7,0.4,3.4
199,Cakalang asar (asap papua),155.0,20.1,3.8,10.2
200,Cake tape,323.0,4.9,11.5,50.1
201,Cammetutu,102.0,3.2,6.0,8.7
202,Cantel mentah,366.0,11.0,3.3,73.0
203,Cap cai sayur,97.0,5.8,6.3,4.2
204,Carica papaya segar,24.0,1.9,0.2,3.7
205,Cassavastick,460.0,0.8,18.7,17.2
206,Cempedak,116.0,3.0,0.4,28.6
207,Cengkeh kering,330.0,5.2,8.9,57.4
208,Centel,332.0,11.0,3.3,73.0
209,Ceriping getuk singkong,462.0,1.2,20.7,67.7
210,Chicken teriyaki masakan,168.0,13.0,9.6,7.5
211,Chikiniku masakan,143.0,9.8,1.4,22.8
212,Coklat bubuk,311.0,8.0,4.0,48.9
213,Coklat Manis batang,472.0,2.0,29.8,62.7
214,Coklat Pahit batang,504.0,5.5,52.9,29.2
215,Coklat Susu batang,381.0,9.0,35.0,53.6
216,Combro ,210.0,1.6,6.6,35.8
217,Corned Beef,241.0,16.0,25.0,0.0
218,Coto mangkasara kuda masakan,96.0,6.8,5.9,3.8
219,Coto mangkasara sapi masakan,84.0,6.0,6.0,1.4
220,Cue Selar Kuning,145.0,27.0,2.3,0.0
221,Cuka,12.0,0.1,0.1,5.0
222,Cumi-cumi goreng,265.0,40.6,10.1,0.0
223,Cumi-cumi segar,75.0,16.1,0.7,0.1
224,Daging Anak Sapi,190.0,19.1,12.0,0.0
225,Daging Asap,191.0,32.0,6.0,0.0
226,Daging Babi Gemuk,457.0,11.6,45.0,0.0
227,Daging Babi Kurus,376.0,14.1,35.0,0.0
228,Daging Domba,206.0,17.1,14.8,0.0
229,Daging Kambing,154.0,16.6,9.2,0.0
230,Daging Kerbau,84.0,18.7,0.5,0.0
231,Daging Kuda,118.0,18.1,4.1,0.9
232,Daging Sapi,207.0,18.8,14.0,0.0
233,Daun bangun-bangun segar,27.0,1.3,0.6,4.0
234,Daun Bawang,29.0,1.8,0.7,5.2
235,Daun bawang  merah segar,41.0,2.0,0.3,7.8
236,Daun bebuas segar,41.0,2.7,1.0,7.3
237,Daun belem segar,50.0,4.4,1.4,7.8
238,Daun Beluntas,42.0,1.8,0.5,9.4
239,Daun Cincau,122.0,6.0,1.0,26.0
240,Daun Gandaria,60.0,3.1,0.3,14.0
241,Daun gedi besar segar,58.0,2.9,0.7,10.0
242,Daun gelang segar,30.0,1.3,0.7,5.8
243,Daun gunda bali segar,50.0,4.6,0.9,7.0
244,Daun gunda serang segar,62.0,4.2,0.9,9.2
245,Daun Jambu Mete muda,73.0,4.6,0.5,16.2
246,Daun jampang segar,34.0,3.8,0.5,5.3
247,Daun jawaw seluang segar,93.0,5.0,1.3,15.3
248,Daun jonghe segar,27.0,2.1,0.7,4.4
249,Daun kacang ma segar,36.0,2.9,0.6,6.8
250,Daun Kacang Panjang,34.0,4.1,0.4,5.8
251,Daun Kacang Panjang kukus,40.0,3.7,0.3,8.0
252,Daun kacang panjang segar,30.0,3.1,0.3,5.8
253,Daun kasbi/singkong karet segar,92.0,4.0,3.6,10.9
254,Daun Katuk,59.0,4.8,1.0,11.0
255,Daun katuk rebus,53.0,5.3,0.9,9.1
256,Daun katuk segar,59.0,6.4,1.0,9.9
257,Daun Kecipir,47.0,5.0,0.5,8.5
258,Daun Kedondong,59.0,2.8,0.3,13.4
259,Daun Kelor,82.0,6.7,1.7,14.3
260,Daun Kelor rebus,61.0,6.1,0.9,10.0
261,Daun Kemangi,46.0,4.0,0.5,8.9
262,Daun kenikir segar,45.0,3.7,0.5,6.6
263,Daun kesum segar,48.0,4.5,0.8,9.1
264,Daun kol sawi segar,22.0,2.1,0.5,3.6
265,Daun Koro,23.0,3.0,0.3,3.7
266,Daun kubis segar,51.0,2.5,1.1,8.0
267,Daun Kumak,14.0,1.3,0.3,2.3
268,Daun Labu Siam,60.0,4.0,0.4,4.7
269,Daun Labu Waluh,30.0,3.6,0.6,4.5
270,Daun lamtoro segar,87.0,8.3,1.8,14.4
271,Daun leilem segar,76.0,2.8,0.2,15.8
272,Daun Leunca,45.0,4.7,0.5,8.1
273,Daun Lobak,30.0,2.3,0.4,5.8
274,Daun Lompong Tales,40.0,3.0,0.8,7.4
275,Daun Mangkokan,54.0,3.7,0.3,11.8
276,Daun matel ambon segar,71.0,6.8,1.6,11.5
277,Daun Melinjo,99.0,5.0,1.3,21.3
278,Daun Mengkudu Kukus,63.0,3.8,1.5,11.5
279,Daun ndusuk segar,166.0,1.7,0.5,38.8
280,Daun Oyong,22.0,1.0,0.1,5.3
281,Daun oyong segar,22.0,1.0,0.1,5.3
282,Daun Pakis,35.0,4.0,0.3,6.4
283,Daun pakis longgiho segar,54.0,2.2,3.6,3.1
284,Daun pakis segar,39.0,4.5,0.4,6.9
285,Daun pakis wambateu segar,53.0,3.4,1.2,7.2
286,Daun paku segar,29.0,3.4,0.1,6.5
287,Daun pangisegar,104.0,3.9,0.6,17.9
288,Daun pare segar,49.0,2.7,1.0,8.4
289,Daun pepaya segar,87.0,8.0,2.0,11.9
290,Daun Pete Cina,128.0,12.0,6.5,12.4
291,Daun Poh-pohan,37.0,2.5,0.8,6.9
292,Daun salam  bubuk,301.0,14.2,10.9,49.0
293,Daun selasih segar,62.0,4.0,0.5,10.5
294,Daun Semanggi,45.0,4.4,8.0,0.5
295,Daun semanggi segar,45.0,4.4,0.5,8.5
296,Daun simpur segar,53.0,3.2,2.5,7.6
297,Daun singkil segar,68.0,2.0,1.0,15.2
298,Daun Singkong,73.0,6.8,1.2,13.0
299,Daun singkong ambon segar,144.0,12.7,1.2,25.2
300,Daun singkong ampenan segar,50.0,6.2,1.1,7.1
301,Daun singkong kopang segar,74.0,6.3,0.7,10.7
302,Daun Singkong lodeh,55.0,4.0,0.5,8.5
303,Daun Singkong rebus,31.0,3.7,0.6,4.8
304,Daun singkong segar,50.0,6.2,1.1,7.1
305,Daun Sintrong,36.0,2.6,0.9,6.1
306,Daun talas rebus,27.0,1.3,0.2,5.9
307,Daun talas segar,59.0,3.0,0.4,13.5
308,Daun Tales,71.0,4.1,2.1,12.3
309,Daun Tales rebus,27.0,1.3,0.2,5.9
310,Daun tespong segar,70.0,2.9,0.3,13.9
311,Daun Ubi Jalar,47.0,2.8,0.4,10.4
312,Daun Ubi Jalar kukus,56.0,3.1,0.3,13.0
313,Daun ubi kuning segar,62.0,3.7,0.3,11.1
314,Daun ubi merah kukus,56.0,3.1,0.3,13.0
315,Daun ubi merah segar,48.0,3.0,0.3,10.8
316,Daun ubi putih segar,46.0,2.8,0.2,8.2
317,Daun ubi tinta segar,55.0,1.7,0.1,11.9
318,Deblo ,260.0,2.0,15.0,53.0
319,Dendeng belut goreng,382.0,55.7,14.1,8.0
320,Dendeng Daging Sapi,433.0,55.0,9.0,0.0
321,Dendeng mujahir goreng,598.0,74.3,26.9,9.2
322,Dideh darah ayam,77.0,13.8,1.9,0.7
323,Dideh darah sapi,104.0,21.9,1.1,0.0
324,Djibokum masakan,248.0,10.0,2.3,40.9
325,Dodol,395.0,3.0,5.7,81.2
326,Dodol bali,298.0,3.7,2.1,65.9
327,Dodol banjarmasin,368.0,2.6,8.6,70.0
328,Dodol galamai,348.0,0.4,3.8,76.1
329,Dodol kedondong,331.0,1.9,7.6,63.8
330,Dodol manado,373.0,4.3,16.5,51.9
331,Dodonkol ,17.5,3.3,2.3,39.5
332,Domba daging gemuk segar,317.0,15.7,27.7,0.0
333,Domba daging kurus  segar,202.0,17.1,14.8,0.0
334,Domba ginjal segar,100.0,16.6,3.3,1.0
335,Duku,63.0,1.0,0.2,16.1
336,Durian,134.0,2.5,3.0,28.0
337,Duwet segar,80.0,0.5,0.6,18.2
338,Eceng Gondok,18.0,1.0,0.2,3.8
339,Embacang,98.0,1.4,0.2,25.4
340,Empal (daging) Goreng masakan,248.0,36.2,6.9,10.1
341,Empal Goreng,590.0,18.5,57.0,0.0
342,Emping (kerupuk melinjo),345.0,12.0,1.5,71.5
343,Emping beras,403.0,10.6,2.2,85.3
344,Emping komak,355.0,17.8,4.6,60.7
345,Encung asam segar,122.0,3.5,4.5,17.5
346,Enting-enting gepuk hello kity,538.0,13.6,30.3,52.6
347,Enting-enting gepuk kacang tanah,524.0,13.3,29.2,52.0
348,Enting-enting wijen,565.0,18.2,38.4,36.8
349,Erbis,70.0,0.6,0.0,18.9
350,Es krim,210.0,4.0,12.5,20.6
351,Es Krim (Coconut milk) ,156.7,3.0,1.7,32.7
352,Es Mambo ,152.0,0.0,0.0,37.6
353,Es Sirup ,44.8,0.0,0.0,11.3
354,Fillet o-fish,270.0,12.3,15.9,19.3
355,Gadeng/Gadung kering,322.0,2.4,0.6,76.6
356,Gado-gado,137.0,6.1,3.2,21.0
357,Gadung kukus,88.0,0.8,0.3,20.9
358,Gadung mentah,101.0,2.1,0.2,23.2
359,Gadung ubi kukus,88.0,0.6,0.3,20.9
360,Gadung ubi segar,100.0,0.9,0.3,23.5
361,Gambas (Oyong),18.0,0.8,0.2,4.1
362,Gambas lodeh,13.0,0.3,0.6,1.6
363,Gandaria,68.0,0.7,0.1,18.0
364,Ganyong kukus,100.0,0.8,0.2,23.8
365,Ganyong mentah,95.0,1.0,0.1,22.6
366,Ganyong rebus,100.0,0.8,0.2,23.8
367,Ganyong segar,77.0,0.6,0.2,18.4
368,Gaplek,338.0,1.5,0.7,81.3
369,Gatep segar,191.0,4.5,1.5,39.7
370,Gatot,347.0,1.3,0.7,83.8
371,Geblek,195.0,0.4,1.7,44.4
372,Gelatine,389.0,0.0,0.0,91.0
373,Gembili,95.0,1.5,0.1,22.4
374,Gembili ubi segar,131.0,1.1,0.2,31.3
375,Gemblong,274.0,1.7,5.4,55.5
376,Gendar goreng,407.0,6.4,28.2,32.0
377,Genjer segar,35.0,1.7,0.2,7.7
378,Geplak,350.0,1.4,14.4,53.6
379,Geplak jahe,462.0,3.1,24.4,57.7
380,Gete kuah asam masakan,75.0,8.2,2.0,6.0
381,Getuk goreng,360.0,1.3,6.4,74.3
382,Getuk Lindri ,171.4,4.0,4.0,32.0
383,Getuk pisang,144.0,1.1,0.4,34.1
384,Getuk singkong,204.0,0.5,1.4,47.4
385,Ginjal Babi,114.0,16.3,4.6,0.8
386,Ginjal Domba,105.0,16.6,3.3,1.0
387,Ginjal Sapi,141.0,15.0,8.1,0.9
388,Gudeg ,53.0,1.6,1.6,8.8
389,Gudeg sayur,160.0,3.3,9.2,16.0
390,Gula Aren,368.0,0.0,0.0,95.0
391,Gula Kelapa,386.0,3.0,10.0,76.0
392,Gula Merah Tebu belum dimurnikan,356.0,0.4,0.5,90.6
393,Gula putih,394.0,0.0,0.0,94.0
394,Gulai asam keueung masakan,52.0,10.0,0.5,1.8
395,Gulai ikan masakan,106.0,16.5,3.3,2.5
396,Gulai ikan paya masakan,148.0,10.0,9.8,5.0
397,Gulai kambing,126.0,4.2,9.4,6.2
398,Gulai keumamah masakan,110.0,5.9,8.2,3.2
399,Gulai pakis,143.0,4.0,11.4,6.0
400,Gulai pliek,176.0,7.3,14.9,3.2
401,Gulai tiram masakan,132.0,9.0,7.2,7.8
402,Gurame asem manis masakan,192.0,12.7,10.1,12.7
403,Gurandil,218.0,0.5,2.5,48.5
404,Ham,389.0,16.9,35.0,0.3
405,Hangop,65.0,10.0,1.0,3.5
406,Hati Babi,134.0,19.7,4.8,1.7
407,Hati Sapi,136.0,19.7,3.2,6.0
408,Havermout,390.0,14.2,7.4,68.2
409,Hofa/Ubi hutan segar,127.0,1.2,0.5,29.5
410,Ikan asar merah masakan,146.0,17.7,5.9,5.6
411,Ikan Asin bilis goreng,380.0,33.6,27.5,0.0
412,Ikan Asin gabus goreng,456.0,46.5,24.4,0.0
413,Ikan Asin japuh goreng,348.0,18.7,29.5,0.0
414,Ikan Asin kering,193.0,42.0,1.5,0.0
415,Ikan Asin pari goreng,430.0,58.2,23.6,0.0
416,Ikan Asin pepetek goreng,652.0,40.4,54.3,0.0
417,Ikan Asin sirinding goreng,319.0,6.9,31.7,0.0
418,Ikan Asin teri goreng,430.0,33.4,32.4,0.0
419,Ikan Bader (Tawes),198.0,19.0,13.0,0.0
420,Ikan balong segar,107.0,16.5,3.9,1.5
421,Ikan bambangan segar,112.0,20.0,1.3,3.7
422,Ikan Bandeng,129.0,20.0,4.8,0.0
423,Ikan bandeng presto masakan,296.0,17.1,20.3,11.3
424,Ikan banjar segar,111.0,19.4,0.9,4.8
425,Ikan baronang segar,78.0,14.5,0.6,3.7
426,Ikan baung bakar,144.0,17.8,5.8,5.2
427,Ikan baung segar,123.0,15.1,5.5,3.3
428,Ikan Bawal,96.0,19.0,1.7,0.0
429,Ikan Bekasang,138.0,14.0,0.7,7.4
430,Ikan Belida bakar,128.0,18.0,3.0,7.2
431,Ikan Belida segar,80.0,14.7,1.4,2.2
432,Ikan Belut Segar goreng,417.0,25.9,19.4,32.0
433,Ikan Belut Segar mentah,82.0,6.7,1.0,10.9
434,Ikan Beunteur,66.0,14.0,0.0,0.0
435,Ikan biawan segar,90.0,14.9,2.5,2.1
436,Ikan bili segar,88.0,14.2,0.7,6.2
437,Ikan bubara segar,100.0,14.7,2.4,4.9
438,Ikan bulan-bulan segar,134.0,25.5,1.3,5.0
439,Ikan cakalang asap mentah,204.0,34.2,5.6,1.9
440,Ikan cakalang asin mentah,198.0,36.5,2.2,5.5
441,Ikan cakalang hati segar,120.0,11.3,3.9,10.0
442,Ikan cakalang jantung segar,116.0,11.2,1.2,10.2
443,Ikan cakalang perut segar,86.0,10.2,1.1,8.7
444,Ikan cakalang segar,107.0,19.6,0.7,5.5
445,Ikan calo/ peda mentah,81.0,11.4,1.9,3.8
446,Ikan daun segar,101.0,11.5,4.1,4.6
447,Ikan Ekor Kuning,109.0,17.0,4.0,0.0
448,Ikan Gabus asap mentah,261.0,38.1,2.3,21.9
449,Ikan Gabus kering,292.0,58.0,4.0,0.0
450,Ikan Gabus segar,74.0,25.2,1.7,0.0
451,Ikan gete goreng,267.0,23.1,19.4,0.2
