id,name,calories,proteins,fat,carbohydrate
452,Ikan hitam segar,101.0,10.3,3.7,6.7
453,Ikan hiu kering,298.0,46.3,3.6,20.2
454,Ikan hiu segar,57.0,10.7,0.3,2.2
455,Ikan kacangan segar,77.0,15.6,0.9,1.6
456,Ikan kakap segar,92.0,20.0,0.7,0.0
457,Ikan kakatua segar,82.0,11.4,1.2,6.4
458,Ikan kapar segar,132.0,17.0,6.7,0.8
459,Ikan katombo asin,162.0,31.7,2.8,0.3
460,Ikan kawalinya segar,110.0,12.6,4.2,5.4
461,Ikan kayu kering,302.0,70.7,1.9,0.4
462,Ikan Kembung,103.0,22.0,1.0,0.0
463,Ikan kima segar,70.0,10.8,0.7,5.2
464,Ikan Lais bakar,147.0,17.5,6.5,5.4
465,Ikan Layang,109.0,22.0,1.7,0.0
466,Ikan layur segar,82.0,18.0,1.0,0.4
467,Ikan lehoma segar,90.0,20.4,0.9,0.0
468,Ikan Lele goreng,252.0,19.9,19.1,0.0
469,Ikan Lemuru,112.0,20.0,3.0,0.0
470,Ikan lidah segar,104.0,15.6,3.2,2.0
471,Ikan lomak asin mentah,258.0,40.3,2.3,18.9
472,Ikan malalugis segar,99.0,20.6,1.4,0.9
473,Ikan Mas,86.0,16.0,2.0,0.0
474,Ikan Mas goreng,188.0,19.3,12.2,0.0
475,Ikan Mas pepes,209.0,15.2,11.3,11.8
476,Ikan mayong segar,97.0,17.9,2.0,0.4
477,Ikan Mujair dendeng goreng,598.0,74.3,26.9,9.2
478,Ikan Mujair dendeng mentah,582.0,68.3,15.2,37.2
479,Ikan Mujair goreng,416.0,46.9,23.9,0.0
480,Ikan Mujair pepes,121.0,21.7,2.8,0.8
481,Ikan Mujair segar,89.0,18.7,1.0,0.0
482,Ikan nasu metti segar,154.0,16.8,5.0,10.5
483,Ikan oci kembung segar,125.0,21.3,3.4,2.2
484,Ikan Papuyu bakar,152.0,17.6,6.1,6.7
485,Ikan papuyu/ betok segar,120.0,14.3,4.9,4.6
486,Ikan Patin bakar,144.0,17.5,6.3,4.3
487,Ikan Patin segar,132.0,17.0,6.6,1.1
488,Ikan peda banjar mentah,156.0,28.0,4.0,2.0
489,Ikan Pepetek,176.0,32.0,4.4,0.0
490,Ikan Pindang banjar mentah,157.0,28.0,4.2,1.8
491,Ikan Pindang benggol mentah,170.0,31.0,4.2,0.0
492,Ikan Pindang layang mentah,153.0,30.0,2.8,0.0
493,Ikan Pindang selar mentah,142.0,27.0,3.0,0.0
494,Ikan sale lais mentah,415.0,61.3,17.6,2.9
495,Ikan Sale segar,534.0,40.2,39.3,4.9
496,Ikan saluang kering mentah,284.0,34.1,9.9,14.6
497,Ikan saluang segar,113.0,13.9,4.9,3.4
498,Ikan sanggang masakan,240.0,21.7,7.7,20.7
499,Ikan sarden segar,109.0,19.9,1.8,3.4
500,Ikan Segar,113.0,17.0,4.5,0.0
501,Ikan Selar kering,194.0,38.0,3.5,0.0
502,Ikan selar kuning cue mentah,138.0,27.0,3.3,0.0
503,Ikan selar segar,100.0,18.8,2.2,0.0
504,Ikan Sepat kering,289.0,38.0,14.0,0.0
505,Ikan sepat segar,84.0,15.2,0.6,4.7
506,Ikan sidat segar,81.0,11.4,1.9,3.8
507,Ikan sunu asin mentah,199.0,34.1,3.8,7.1
508,Ikan sunu segar,111.0,13.3,3.4,6.7
509,Ikan tahuman segar,88.0,15.9,0.9,4.1
510,Ikan tarmon segar,96.0,19.5,1.1,2.0
511,Ikan telan segar,95.0,15.8,0.7,6.5
512,Ikan telur asin mentah,358.0,20.7,26.4,9.4
513,Ikan Tembang,204.0,16.0,15.0,0.0
514,Ikan tempahas segar,101.0,15.1,4.1,1.0
515,Ikan tepung mentah,316.0,60.1,6.5,22.4
516,Ikan terbang segar,98.0,19.6,1.7,1.0
517,Ikan Teri bubuk,277.0,60.0,2.3,1.8
518,Ikan Teri kering,170.0,33.4,3.0,0.0
519,Ikan Teri Kering tawar,331.0,68.7,4.2,0.0
520,Ikan Teri Nasi kering,144.0,32.5,0.6,0.0
521,Ikan teri segar,74.0,10.3,1.4,4.1
522,Ikan Teri tepung,347.0,48.8,6.4,19.6
523,Ikan titang segar,82.0,17.4,0.4,2.3
524,Ikan tongkol segar,100.0,13.7,1.5,8.0
525,Ikan turi segar,96.0,19.2,2.0,0.2
526,Intip goreng,474.0,7.6,21.6,62.3
527,Itik alabio daging dendeng mentah,496.0,30.3,33.5,18.4
528,Jagung grontol,156.0,2.7,1.3,33.3
529,Jagung Kuning giling,361.0,8.7,4.5,72.4
530,Jagung Kuning muda,129.0,4.1,1.3,30.3
531,Jagung Kuning pipil baru,307.0,7.9,3.4,63.6
532,Jagung kuning pipil kering mentah,366.0,9.8,7.3,69.1
533,Jagung Kuning pipil lama,355.0,9.2,3.9,73.7
534,Jagung kuning pipil rebus,154.0,3.8,3.5,28.4
535,Jagung Kuning segar,140.0,4.7,1.3,33.1
536,Jagung kuning tepung,355.0,9.2,3.9,73.7
537,Jagung muda,35.0,2.2,0.1,7.4
538,Jagung muda kuning mentah,147.0,5.1,0.7,31.5
539,Jagung muda rebus,142.0,5.0,0.7,30.3
540,Jagung pipil var. harapan kering,367.0,6.2,5.1,76.2
541,Jagung pipil var. metro kering,368.0,5.5,4.6,78.0
542,Jagung Putih giling,361.0,8.7,4.5,72.4
543,Jagung Putih muda,129.0,4.1,1.3,30.3
544,Jagung Putih pipil baru,307.0,7.9,3.4,63.6
545,Jagung Putih pipil lama,355.0,9.2,3.9,73.7
546,Jagung Putih segar,140.0,4.7,1.3,33.1
547,Jagung Rebus ,175.0,1.8,1.8,35.0
548,Jagung Sayur (tumis) ,148.9,10.4,10.4,20.1
549,Jagung titi,374.0,9.4,2.2,79.1
550,Jahe,51.0,1.5,1.0,10.1
551,Jali,289.0,11.0,4.0,61.0
552,Jam selai,239.0,0.5,0.6,64.5
553,Jambal goreng,286.0,48.5,9.2,2.3
554,Jambu Air,46.0,0.6,0.0,11.8
555,Jambu Biji,49.0,0.9,0.3,12.2
556,Jambu biji putih tidak berbiji,61.0,0.9,0.3,15.4
557,Jambu Bol,56.0,0.6,0.3,14.2
558,Jambu Monyet buah,64.0,0.7,0.6,15.8
559,Jampang huma mentah,350.0,6.2,1.4,78.2
560,Jamur Coklat (kulat siau),45.0,2.5,3.9,0.0
561,Jamur encik,296.0,9.4,1.1,62.0
562,Jamur kuping kering,294.0,16.0,0.9,64.6
563,Jamur kuping segar,21.0,3.8,0.6,0.9
564,Jamur merang segar,30.0,3.5,0.2,4.0
565,Jamur Putih (kulat putih),48.0,2.8,4.1,2.9
566,Jamur sagu,48.0,1.9,3.2,2.8
567,Jamur tiram segar,30.0,1.9,0.1,5.5
568,Jangang bintatoeng masakan,107.0,5.3,2.2,16.5
569,Jantung Pisang segar,31.0,1.2,0.3,7.1
570,Japilus,500.0,1.2,25.1,67.3
571,Jaruk Tigarun,48.0,2.5,4.2,0.0
572,Jawawut,334.0,9.7,3.5,73.4
573,Jenang ,381.7,9.5,9.5,65.8
574,Jengkol segar,192.0,5.4,0.3,40.7
575,Jeruk Bali,48.0,0.6,0.2,12.4
576,Jeruk banjar segar,61.0,0.8,0.2,14.1
577,Jeruk Garut,44.0,0.8,0.3,10.9
578,Jeruk Kalamansi segar,39.0,0.3,0.3,8.9
579,Jeruk Manis,45.0,0.9,0.2,11.2
580,Jeruk Nipis,37.0,0.8,0.1,12.3
581,Jeruk ragi segar,49.0,0.7,0.2,11.1
582,Jotang,32.0,1.9,0.3,7.1
583,Jukku pallu kaloa masakan,15.0,15.2,4.3,8.8
584,Kabau segar,130.0,6.7,0.3,25.2
585,Kaburan ubi segar,133.0,1.0,0.2,32.2
586,Kabuto,250.0,2.6,2.5,35.4
587,Kacang Andong,356.0,20.5,4.1,61.6
588,Kacang Arab,330.0,23.8,1.4,60.2
589,Kacang atom,533.0,27.8,38.1,28.8
590,Kacang babi kering,341.0,30.4,3.2,51.3
591,Kacang belimbing (kecipir) kering,400.0,34.4,16.9,34.1
592,Kacang Belimbing rebus,204.0,16.9,8.8,17.5
593,Kacang Belimbing tempe,212.0,17.5,10.0,12.9
594,Kacang beracun segar,118.0,4.4,1.5,21.6
595,Kacang Bogor goreng,479.0,12.7,23.2,58.9
596,Kacang bogor kering,370.0,16.0,6.0,65.0
597,Kacang Bogor rebus,161.0,7.7,2.8,27.1
598,Kacang bogor segar,165.0,7.7,3.1,27.4
599,Kacang Endel biji,331.0,25.0,1.0,58.0
600,Kacang ercis segar,129.0,12.4,0.7,18.3
601,kacang galing segar,336.0,23.1,1.7,59.5
602,Kacang goyang,516.0,14.7,31.1,44.4
603,Kacang Gude biji,336.0,20.7,1.4,62.0
604,Kacang gude biji kering,316.0,20.7,1.0,58.0
605,Kacang Gude biji muda,114.0,7.0,0.6,20.8
606,Kacang Gude muda,123.0,8.4,0.6,1.8
607,Kacang gude rebus,147.0,9.0,0.5,27.5
608,Kacang hijau kering,323.0,22.9,1.5,56.8
609,kacang hijau rebus,109.0,8.7,0.5,18.3
610,Kacang hijau var. bakti kering,350.0,17.1,1.8,70.7
611,Kacang hijau var. siwalik kering,339.0,20.8,2.1,64.6
612,Kacang hitam kering,346.0,16.6,1.7,66.1
613,Kacang Ijo,345.0,22.2,1.2,62.9
614,Kacang Kapri Goreng ,445.0,11.0,11.0,65.5
615,Kacang Kapri muda,98.0,6.7,0.4,17.7
616,Kacang Kedelai basah,286.0,30.2,15.6,30.1
617,Kacang kedelai goreng,521.0,32.2,37.7,22.9
618,Kacang kedelai kering,381.0,40.4,16.7,24.9
619,Kacang Kedelai kukus,75.0,4.1,2.1,10.7
620,Kacang kedelai rebus,189.0,20.2,8.2,12.7
621,Kacang kedelai segar,286.0,30.2,15.6,30.1
622,Kacang komak segar,327.0,16.4,4.3,55.8
623,Kacang kuning kering,355.0,17.0,2.5,66.0
624,Kacang lebui /iris kering,346.0,16.5,1.5,66.6
625,Kacang mekah polong segar,22.0,1.1,1.0,3.4
626,Kacang mentega kering,344.0,16.7,2.1,64.6
627,Kacang Merah,336.0,23.1,1.7,59.5
628,Kacang merah /banda kering,350.0,13.9,3.0,66.9
629,Kacang merah kering,314.0,22.1,1.1,56.2
630,Kacang Merah kering rebus,158.0,10.3,0.9,28.2
631,Kacang merah segar,171.0,11.0,2.2,28.0
632,Kacang Merah segar rebus,144.0,10.0,1.0,24.7
633,Kacang merah tua kering,280.0,16.7,1.6,63.2
634,Kacang mete/biji jambu monyet goreng,629.0,20.4,56.3,19.8
635,Kacang mete/biji jambu monyet segar,616.0,16.3,48.4,28.7
636,Kacang negara,480.0,18.4,19.1,58.5
637,Kacang Panjang,44.0,2.7,0.3,7.8
638,Kacang Panjang biji,357.0,17.3,1.5,70.0
639,Kacang Panjang kukus,39.0,3.0,0.6,7.6
640,Kacang Panjang tumis,150.0,2.5,12.5,7.0
641,Kacang ranti polong,37.0,3.1,0.2,7.9
642,Kacang sukro,484.0,8.8,26.1,57.7
643,Kacang Sukro Putih ,488.0,25.6,25.6,59.6
644,Kacang Tanah atom,535.0,27.8,38.1,28.8
645,Kacang tanah goreng,564.0,25.5,44.4,25.5
646,Kacang Tanah kacang sari,561.0,25.5,43.8,26.0
647,Kacang tanah kering,525.0,27.9,42.7,17.4
648,Kacang Tanah Rebus ,385.0,14.0,31.0,13.0
649,Kacang Tanah rebus berkulit,360.0,13.5,31.2,12.8
650,Kacang Tanah rempeyek,513.0,17.5,32.5,44.3
651,Kacang Tanah sangan berselaput,569.0,28.8,48.4,15.8
652,Kacang tanah sangan tanpa selaput,559.0,26.9,44.2,23.6
653,Kacang tanah sari,561.0,25.5,43.8,26.0
654,Kacang Telur ,748.0,20.8,20.8,124.8
655,Kacang tolo / tunggak kering,331.0,24.4,1.9,56.6
656,Kacang tolo rebus,138.0,10.7,1.1,22.6
657,Kacang Tunggak (tolo),342.0,22.9,1.4,61.6
658,Kacang Tunggak rebus,138.0,10.7,1.1,22.6
659,Kacang Tunggak rempeyek,451.0,11.2,20.2,59.7
660,Kacang tunis kering,351.0,12.2,1.2,72.9
661,Kacang uci kering,358.0,23.4,2.4,60.6
662,Kacang urei kering,354.0,12.8,1.8,69.3
663,Kadada katembe,110.0,4.5,6.9,7.1
664,Kaholeo masakan,413.0,28.7,19.8,29.8
665,Kakap,92.0,20.0,0.7,0.0
666,Kalakai,66.0,2.8,6.8,3.4
667,Kalio jeroan masakan,163.0,16.5,9.0,4.1
668,Kalio kikil (tunjang) masakan,122.0,13.8,5.7,3.9
669,Kalio otak masakan,157.0,8.1,8.8,11.4
670,Kalio telur masakan,193.0,10.6,12.4,9.7
671,Kambing daging segar,149.0,16.6,9.2,0.0
672,Kambose,164.0,3.0,2.4,32.6
673,Kangkung,29.0,3.0,0.3,5.4
674,Kangkung kukus,30.0,3.2,0.7,4.7
675,Kangkung rebus,22.0,2.5,0.6,3.1
676,Kangkung tondano,43.0,1.8,0.2,8.4
677,Kangkung tumis,52.0,1.8,3.6,3.0
678,Kaparende sayur,38.0,2.4,2.0,2.6
679,Kapri Muda,42.0,3.3,0.2,9.6
680,Kapurung,41.0,2.0,0.3,7.8
681,Kapusa,158.0,4.4,3.2,27.8
682,Karawila,25.0,2.3,0.2,3.5
683,Karedok ,146.7,5.9,5.9,19.7
684,Karedok sayur,92.0,2.2,3.3,14.1
685,Karoket ,292.0,11.2,11.2,2.8
686,Katak,73.0,16.4,0.3,0.0
687,Katul Beras,275.0,12.6,14.8,54.6
688,Katul Jagung,356.0,9.0,8.5,64.5
689,Kawista segar,120.0,3.5,2.5,20.8
690,Kecap,46.0,5.7,1.3,9.0
691,Kecimpring singkong goreng,464.0,1.2,18.6,73.0
692,Kecipir biji,405.0,32.8,17.0,36.5
693,Kecipir buah muda,35.0,2.9,0.2,0.8
694,Kecipir muda segar,32.0,2.9,0.2,5.8
695,Kecombrang segar,34.0,0.9,1.0,6.7
696,Kedondong segar ,47.0,0.5,0.2,10.4
697,Keju,326.0,22.8,20.3,13.1
698,Keju Kacang Tanah,590.0,27.0,49.0,20.9
699,Kelapa hutan kering,623.0,2.0,52.1,36.5
700,Kelapa Muda air,17.0,0.2,0.1,3.8
701,Kelapa Muda daging,68.0,1.0,0.9,14.0
702,Kelapa Setengah Tua daging,180.0,4.0,15.0,10.0
703,Kelapa Tua daging,359.0,3.4,34.7,14.0
704,Kelepon ,214.0,5.4,5.4,40.2
705,Kelewih,111.0,1.5,0.3,27.2
706,Kelinci daging segar,142.0,16.9,7.8,0.0
707,Kemang,48.0,1.0,0.2,11.9
708,Kembang tahu,380.0,48.9,13.8,23.3
709,Kembang Turi,44.0,1.8,0.6,9.6
710,Kemiri,636.0,19.0,63.0,8.0
711,Kenari,657.0,15.0,66.0,13.0
712,Kenari banda kering,616.0,13.9,56.2,13.7
713,Kentang,83.0,2.0,0.1,19.1
714,Kentang Hitam,142.0,0.9,0.4,33.7
715,Keong,64.0,12.0,1.0,2.0
716,Kepala Susu (Krim),204.0,2.6,20.0,4.0
717,Kepiting,151.0,13.8,3.8,14.1
718,Kerang,59.0,18.0,1.1,3.6
719,Kerang asap mentah,393.0,38.9,13.3,29.4
720,Kerang dendeng mentah,357.0,41.1,10.0,25.6
721,Kerbau daging segar,79.0,18.7,0.5,0.0
722,Keremes,475.0,1.6,25.5,64.4
723,Keribang ubi segar,137.0,1.3,1.1,29.8
724,Keripik bayam,586.0,4.9,40.6,50.2
725,Keripik gadung,446.0,2.8,14.5,76.0
726,Keripik kentang,448.0,2.7,18.8,67.1
727,Keripik lampung,485.0,1.7,22.2,69.7
728,Keripik oncom,598.0,8.3,43.8,42.6
729,Keripik singkong,478.0,0.9,20.7,72.0
730,Keripik singkong berbumbu,481.0,2.2,19.7,73.6
731,Keripik tempe,581.0,12.1,40.6,41.7
732,Keripik tempe abadi murni,542.0,40.3,42.4,11.6
733,Keripik tempe abadi sedang,510.0,12.3,27.9,52.4
734,Keripik tempe abadi telur,529.0,20.8,31.7,40.2
735,Keripik ubi,486.0,0.2,23.9,67.6
736,Kerokot segar,26.0,1.7,0.4,3.8
737,Kerupuk Aci,350.0,0.5,0.2,85.9
738,Kerupuk cumi goreng,444.0,6.9,14.6,71.3
739,Kerupuk Ikan berpati,342.0,16.0,0.4,65.6
740,Kerupuk kemplang  (ikan) mentah,325.0,1.8,0.4,78.5
741,Kerupuk kemplang goreng,504.0,5.6,28.1,57.1
742,Kerupuk kemplang panggang,356.0,9.7,1.1,76.9
743,Kerupuk Kulit kerbau,422.0,83.0,4.0,0.0
744,Kerupuk Melinjo mentah,345.0,12.0,1.5,71.5
745,Kerupuk Melinjo tebal goreng asin,431.0,11.1,16.2,63.0
746,Kerupuk Melinjo tebal goreng manis,439.0,10.0,16.4,65.7
747,Kerupuk Melinjo tipis goreng,485.0,11.5,24.5,59.1
748,Kerupuk mie kuning goreng,476.0,0.1,21.1,71.3
749,Kerupuk Sayong ,46.7,17.3,17.3,81.3
750,Kerupuk Udang ,340.0,30.0,30.0,52.0
751,Kerupuk Udang berpati,359.0,17.2,68.2,332.0
752,Kerupuk udang goreng,477.0,4.7,20.5,68.5
753,Kerupuk urat,588.0,53.7,40.9,1.2
754,Kesemek,78.0,0.8,0.4,20.0
755,Ketan hitam matang,181.0,4.0,1.2,37.3
756,Ketan putih matang,163.0,3.0,0.4,35.7
757,Ketapang ,340.0,11.0,11.0,54.0
758,Ketela Pohon Kuning,157.0,0.8,0.3,37.9
759,Ketela singkong segar,154.0,1.0,0.3,36.8
760,Ketela pohon/singkong kukus,153.0,1.2,0.3,36.4
761,Ketimun,12.0,0.7,0.1,2.7
762,Ketimun madura segar,9.0,0.5,0.1,1.9
763,Ketoprak,153.0,7.9,7.7,13.0
764,Ketumbar,404.0,14.1,16.1,54.2
765,Ketupat ketan,212.0,4.0,4.6,38.6
766,Ketupat Tahu ,109.6,2.6,2.6,18.6
767,Kluwek,310.0,10.0,24.0,13.5
768,Kodok segar,73.0,16.4,0.3,0.0
769,Kokosan,86.0,1.6,0.2,13.0
770,Komak polong segar,99.0,3.3,0.1,21.2
771,Kool Kembang,25.0,2.4,0.2,4.9
772,Kool Merah kool putih,24.0,1.4,0.2,5.3
773,Kopi bagian yang larut,352.0,17.4,1.3,69.0
774,Kopi bubuk instant,129.0,12.3,0.5,35.0
775,Koro andong kering,356.0,20.5,4.1,61.6
776,Koro Benguk biji,332.0,24.0,3.0,55.0
777,Koro Benguk tempe,141.0,10.2,1.3,23.2
778,Koro Kerupuk biji,125.0,8.3,0.7,22.1
779,Koro Loke biji,33.0,2.7,0.2,7.9
780,Koro Roway biji,344.0,12.5,2.1,69.4
781,Koro Wedus biji,338.0,22.2,1.5,61.0
782,Koro Wedus buah muda,38.0,3.0,0.3,7.9
783,Koro wedus polong,46.0,3.0,0.3,7.9
784,Kotiu hinela tawang nggole,46.0,2.2,1.5,6.0
785,Koya,366.0,4.2,4.3,77.5
786,Koya mirasa,370.0,8.0,1.0,82.2
787,Kranji segar,315.0,2.1,1.4,73.5
788,Kripik Tempe Goreng ,542.0,40.3,42.4,11.5
789,Krokot,21.0,1.7,0.4,3.8
790,Kucai,45.0,2.2,0.3,10.3
791,Kucai Muda (Lokio),42.0,3.8,0.6,7.8
792,Kuda daging segar,113.0,18.1,4.1,0.9
793,Kue ali,440.0,3.8,18.5,64.5
794,Kue Apem ,186.7,1.6,1.6,39.6
795,Kue bangket,338.0,1.5,1.2,80.3
796,Kue Bugis ,240.0,1.0,4.0,54.0
797,Kue jahe,425.0,1.6,8.8,84.6
798,Kue kelapa,591.0,5.6,42.1,47.5
799,Kue Koya ,366.0,4.2,4.3,7.9
800,Kue lumpur,291.0,3.6,11.1,44.1
801,Kue mangkok ,182.0,1.0,1.0,40.4
802,Kue Pacar Cina ,126.7,0.7,0.7,57.3
803,Kue Pia ,296.0,1.4,1.4,66.4
804,Kue putu cangkir,304.0,5.3,7.0,54.9
805,Kue putu singkong,217.0,1.2,0.5,53.2
806,Kue Satu ,393.3,2.7,2.7,79.3
807,Kue Semprong ,380.0,1.0,1.0,92.0
808,Kue sus,221.0,7.5,10.2,24.8
809,Kue Talam ,180.0,5.0,5.0,32.0
810,Kue Tambang ,512.0,26.0,26.0,60.4
811,Kue thipan,247.0,2.9,4.2,49.5
812,Kulit melinjo,111.0,4.5,1.1,20.7
813,Kundur segar,22.0,0.4,0.2,4.7
814,Kunyit,63.0,2.0,2.7,9.1
815,Kura-kura,83.0,19.1,0.2,0.0
816,Kwaci,515.0,30.6,42.1,13.8
817,Kwark (Quark),242.0,19.0,17.0,3.0
818,Labu Air,17.0,0.6,0.2,3.8
819,Labu kuning segar,51.0,1.7,0.5,10.0
820,Labu Siam,26.0,0.6,0.1,6.7
821,Labu waluh segar,32.0,1.1,0.1,6.6
822,Laksa ,166.3,2.7,3.9,29.5
823,Lamtoro (pete cina) biji muda,85.0,5.7,0.3,15.4
824,Lamtoro biji tua,148.0,10.6,0.5,26.2
825,Lamtoro tempe,142.0,11.0,2.5,20.4
826,Lamtoro var. gung tanpa kulit,367.0,46.4,5.4,32.5
827,Lamtoro var. lokal dengan kulit,336.0,23.8,1.2,59.7
828,Langsat,56.0,0.9,0.2,14.3
829,Lantar segar,34.0,2.2,0.3,5.5
830,Lanting getuk,422.0,0.9,10.8,80.4
831,Lapis legit,389.0,6.6,15.7,55.5
832,Lawar babi masakan,174.0,17.0,10.0,3.0
833,Lawar penyu masakan,141.0,23.0,1.5,7.6
834,Lawara jangang masakan,159.0,5.0,10.9,10.1
835,Lawara penjah masakan,207.0,7.4,15.4,9.6
836,Ledre pisang,405.0,4.8,5.1,84.9
837,Lema/ Rebung asam,15.0,1.0,0.4,1.9
838,Lemak Babi,902.0,0.0,100.0,0.0
839,Lemak Babi (Bacon),630.0,9.1,65.0,1.1
840,Lemak ikan,372.0,12.0,29.4,14.4
841,Lemak Kerbau,818.0,1.5,90.0,0.0
842,Lemon segar,34.0,0.5,0.8,6.2
843,Lemon Squasih,36.0,0.0,0.0,10.0
844,Lemonade,30.0,0.0,0.0,8.0
845,Lemper ,221.3,3.8,3.6,43.4
846,Lempog durian,320.0,3.5,5.7,63.7
847,Lepok/Ubi rumput,181.0,2.8,1.2,39.8
848,Leunca buah,33.0,1.9,0.1,7.4
849,Leupeut Ketan ,240.0,7.8,0.5,51.3
850,Leverwost (sosis hati),387.0,16.0,22.0,3.0
851,Lilin bungkus gedi,79.0,2.3,5.2,5.8
852,Lobak,19.0,0.9,0.1,4.2
853,Lokan segar,217.0,11.0,1.7,5.1
854,Lontar segar,27.0,0.4,0.2,6.0
855,Lopis ,163.3,2.8,2.2,33.0
856,Lumai/Leunca segar,38.0,1.1,0.3,7.6
857,Lupis ketan,164.0,1.8,2.1,34.5
858,Madu,294.0,0.3,0.0,79.5
859,Maizena tepung,341.0,0.3,0.0,85.0
860,Makaroni,363.0,8.7,0.4,78.7
861,Mangga benggala segar,63.0,2.4,0.4,12.4
862,Mangga Gedong,44.0,0.7,0.2,11.2
863,Mangga Golek,63.0,0.5,0.2,16.7
864,Mangga Harum Manis,46.0,0.4,0.2,11.9
865,Mangga Indramayu,72.0,0.8,0.2,18.7
866,Mangga Kopek,56.0,0.4,0.2,14.6
867,Mangga kwini segar,86.0,0.7,0.5,19.8
868,Mangga manalagi segar,133.0,1.0,0.1,32.1
869,Mangga Muda,59.0,0.5,0.4,15.1
870,Mangga segar,52.0,0.7,0.0,12.3
871,Manggis,63.0,0.6,0.6,15.6
872,Margarin,720.0,0.6,81.0,0.4
873,Markisa segar,144.0,3.5,1.2,29.8
874,Markisa squash,217.0,2.5,1.0,49.6
875,Markisa squash BD,104.0,1.2,0.5,23.7
876,Martabak  manis,265.3,4.7,5.5,49.3
877,Martabak india,153.0,4.5,4.2,24.3
878,Martabak mesir,278.0,5.1,8.6,45.0
879,Martabak Telur ,200.0,8.9,5.1,29.5
880,Masekat,369.0,2.1,7.0,74.1
881,Matoa segar,90.0,1.2,0.1,21.1
882,Melase,276.0,0.0,0.1,71.0
883,Melinjo,66.0,5.0,0.7,13.3
884,Melon segar,37.0,0.6,0.4,7.8
885,Menjangan daging dendeng mentah,322.0,55.8,2.0,22.7
886,Mentega,725.0,0.5,81.6,1.4
887,Menteng,65.0,1.7,0.2,16.1
888,Merica,359.0,11.5,6.8,64.4
889,Mi basah,88.0,0.6,3.3,14.0
890,Mi golosor,71.0,0.2,0.8,15.9
891,Mi kering,339.0,10.0,1.7,6.3
892,Mie aceh rebus,113.0,3.0,3.2,18.1
893,Mie ayam,102.0,6.2,3.9,10.5
894,Mie bakso,114.0,5.3,3.0,16.4
895,Mie basah,86.0,0.6,3.3,14.0
896,Mie Bendo,353.0,0.3,0.0,88.0
897,Mie celon,102.0,3.0,2.1,17.8
