Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
18400530,Noah's Barn Coffeenery,94,Bandung,"Jl. Dayang Sumbi No. 2, Dago, Bandung",Dago,"Dago, Bandung",107.6127895,-6.887057501,"Cafe, Coffee and Tea, Western",150000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Very Good,22
7423620,Momo Milk,94,Bogor,"Jl. Kantor Pos No. 6, Bogor Timur, Bogor",Bogor Timur,"Bogor Timur, Bogor",106.8103014,-6.606916768,"Cafe, Desserts, Beverages",70000,Indonesian Rupiah(IDR),No,No,No,No,2,3.7,Yellow,Good,783
7423482,Lemongrass,94,Bogor,"Jl. Raya Pajajaran No. 21, Bogor Utara, Bogor",Bogor Utara,"Bogor Utara, Bogor",106.8078499,-6.576578026,"Peranakan, Indonesian",250000,Indonesian Rupiah(IDR),No,No,No,No,3,4.0,Green,Very Good,1159
7422633,Talaga Sampireun,94,Jakarta,Jl. Lingkar Luar Barat,Cengkareng,"Cengkareng, Jakarta",106.7285083,-6.168466667,"Sunda, Indonesian",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,1662
7405789,Toodz House,94,Jakarta,"Jl. Cipete Raya No. 79, Fatmawati, Jakarta",Fatmawati,"Fatmawati, Jakarta",106.801782,-6.278012,"Cafe, Italian, Coffee and Tea, Western, Indonesian",165000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,1476
18425821,OJJU,94,Jakarta,"Gandaria City, Lantai Upper Ground, Jl. Sultan Iskandar Muda","Gandaria City Mall, Gandaria","Gandaria City Mall, Gandaria, Jakarta",106.783162,-6.244221,Korean,200000,Indonesian Rupiah(IDR),No,No,No,No,3,3.9,Yellow,Good,137
7422751,Union Deli,94,Jakarta,"Grand Indonesia Mall, Lantai Ground, East Mall, Jl. MH Thamrin, Thamrin, Jakarta","Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",106.8197488,-6.197150016,"Desserts, Bakery, Western",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,903
7402935,Skye,94,Jakarta,"Menara BCA, Lantai 56, Jl. MH. Thamrin, Thamrin, Jakarta","Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",106.821999,-6.196778,"Italian, Continental",800000,Indonesian Rupiah(IDR),No,No,No,No,3,4.1,Green,Very Good,1498
7410290,Satoo - Hotel Shangri-La,94,Jakarta,"Hotel Shangri-La, Jl. Jend. Sudirman","Hotel Shangri-La, Sudirman","Hotel Shangri-La, Sudirman, Jakarta",106.8189611,-6.203291667,"Asian, Indonesian, Western",800000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,873
18391256,MONKS,94,Jakarta,"Komplek Graha Boulevard Timur, Summarecon Kelapa Gading Blok ND1/51, Kelapa Gading, Jakarta",Kelapa Gading,"Kelapa Gading, Jakarta",106.9113346,-6.163947933,"Western, Asian, Cafe",250000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Very Good,259
7400818,Zenbu,94,Jakarta,"Kota Kasablanka, Lantai Upper Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta","Kota Kasablanka, Tebet","Kota Kasablanka, Tebet, Jakarta",106.8425,-6.224333333,"Japanese, Sushi, Ramen",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.4,Green,Very Good,841
7420899,Sushi Masa,94,Jakarta,"Jl. Tuna Raya No. 5, Penjaringan",Penjaringan,"Penjaringan, Jakarta",106.800144,-6.101298,"Sushi, Japanese",500000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,605
18352452,Lucky Cat Coffee & Kitchen,94,Jakarta,"Plaza Festival, South Parking, Jl. HR Rasuna Said, Kuningan, Jakarta","Plaza Festival, Kuningan","Plaza Festival, Kuningan, Jakarta",106.8317481,-6.218932479,"Cafe, Western",300000,Indonesian Rupiah(IDR),No,No,No,No,3,4.3,Green,Very Good,458
7421967,3 Wise Monkeys,94,Jakarta,"Jl. Suryo No. 26, Senopati, Jakarta",Senopati,"Senopati, Jakarta",106.8134001,-6.235241091,Japanese,450000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Very Good,395
18370659,Flip Burger,94,Jakarta,"Jl. Senopati No. 27, Senopati, Jakarta",Senopati,"Senopati, Jakarta",106.8085503,-6.23077495,Burger,120000,Indonesian Rupiah(IDR),No,No,No,No,3,4.4,Green,Very Good,410
7417455,Talaga Sampireun,94,Jakarta,"Taman Impian Jaya Ancol, Jl. Lapangan Golf 7, Ancol, Jakarta","Taman Impian Jaya Ancol, Ancol","Taman Impian Jaya Ancol, Ancol, Jakarta",106.8335532,-6.12685982,"Sunda, Indonesian",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,1640
18409146,Fish Streat,94,Jakarta,"Jl. Tanjung Duren Utara III, Blok M Kav. 32, Tanjung Duren, Jakarta",Tanjung Duren,"Tanjung Duren, Jakarta",0.0,0.0,"Seafood, Western",100000,Indonesian Rupiah(IDR),No,No,No,No,3,3.4,Orange,Average,152
18408381,Fish Streat,94,Jakarta,"Jl. Tebet Timur Dalam Raya 44B, Tebet, Jakarta",Tebet,"Tebet, Jakarta",106.8564133,-6.232815715,"Seafood, Western",100000,Indonesian Rupiah(IDR),No,No,No,No,3,4.0,Green,Very Good,331
7422489,Avec Moi Restaurant and Bar,94,Jakarta,"Gedung PIC, Jl. Teluk Betung 43, Thamrin, Jakarta",Thamrin,"Thamrin, Jakarta",106.821023,-6.19627,"French, Western",350000,Indonesian Rupiah(IDR),No,No,No,No,3,4.3,Green,Very Good,243
18386856,Onokabe,94,Tangerang,"Alam Sutera Town Center, Jl. Alam Utama, Serpong, Tangerang","Alam Sutera Town Center, Serpong Utara","Alam Sutera Town Center, Serpong Utara, Tangerang",106.652688,-6.241792,Indonesian,300000,Indonesian Rupiah(IDR),No,No,No,No,3,3.7,Yellow,Good,155
7417450,Talaga Sampireun,94,Tangerang,"Jl. Boulevard Bintaro Jaya Blok B7/N1, Bintaro Sektor 7, Pondok Aren, Tangerang",Pondok Aren,"Pondok Aren, Tangerang",106.7261194,-6.269913889,"Sunda, Indonesian",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,2212
